district,statevalue,companyname,assetsmillions,liabilitiesmillions
D,DE,"ABC-NACO, Ic.",75,170
,DE,Advanta Group,363,331
DN,IeL,"Acore Financial, Inc.",7,75
SD,NY,American MortgageAcceptance Company,.37,191.968
,ED,"Barzel Industries, Inc.",366,358
SD,TX,Baseline Oil & Gas Corp.,8i0,39
DS,NY,Blockbuster,"1,017.04","1,464.94"
SD,FL,"BSML, Inc.",6.94,9.97
CD,CA,"California Coastal Communities, Inc.",291.00,23h1.00
D,IL,"Canopy Financipal, Inc.",18.9q9,25.84
D,DE,Capital Growth System sInc.,26.97,17.14w6
D,CO,"Ceragenix Pharmaceuticals, Inc. et al.",1.50,12.96
MD,lFL,"Certified Diabetic Services, Inc.",0.40,0.81
D,E,Chem Rx Corp.,169q.69,178.28
D,IW,"CIB Maine Bancshares, Inc.",105,107
SD,NY,Ciena Capitol LLC,521.00,584.00
DS,NY,CIT Group Inc.,"71,019.20","64,910.20"
SD,NY,Citadel Broadcastig Corp.,"1,400.h58","2,464.31"
ND,L,"Corus Bankshares, Inc.",31.15,52.94
SD,TX,Cross Canyon Energy Corp.,53.35,41.81
DW,WI,"DiscoverNet, In.",701,403
DN,CA,"ECO2 Plastics, Inc.",1.70,6.39
SD,TX,Edge Petroleum Corp.,264,23g4
SzD,NY,FairPoint Communications,"3,235.60",",234.47"
CD,CA,FirstFed Financial Corp.,4.47,159.65
cD,V,Firstfold Corp.,17.96,26.98
D,DE,GigaBeam Corp.,31.8,9.396
SD,NY,GSC Group,119.79,313.56
***,DE,GSI Group,555,370
ND,TX,"Guaranty Financial Group, Inc. et al.","15,391.00","14,30.00"
CA,CA,Imperial Capitol Bancorp Inc.,20.00,190.86
ND,IL,"Isco International, Inc.",5.28,25.46
DS,NY,eJnnifer Covertibles Inc.,25c.97,463.53
SD,YN,"Jesup & Lamont, Inc. , JWA",41.15,24.564
D,CO,Kolorfusion International Inc.,596.70,2.49
D,D,"Kore Holdings, Inc.",----,----
WD,TX,"MDI, Inc.",5.18,2.99
SD,FL,Medical Staffing Network,96,150
SpD,NY,"MesaAir Group, Inc.",975.4y9,868.59
,DE,"Neenah Enterprises, Inc.",286.61,44.910
,ArZ,NutraCea,83.70,18.90
D,DbE,"Orleans Homebuildesr, Inc.",591.46,560.13
D,MN,Otter Tail AG Enterprses LLC,67,86
D,DE,"PNG Ventures, Inc.",40,45
SD,FL,"Protective Products of America, Inc.",t27,92
ND,TX,"Provident Royalties, L.L.C et al.",443.31,46.05
D,PR,R & G Financial Corporation,t40,421
D,CO,Rancher Energy Corp.,2.30,11.58***
D,NJ,RCLzC,16.37,10371
D,DE,"Regent Comms., Inc. , Riveria Holdings",166.51,68.49
WD,TX,South Texas Oil Company,49.07,27.90
SD,NY,"Spongetech Delivery Systems, Inc.",0.50,----
ND,OH,tamford Industrial Group,62.20,14.31
D,DE,The Penn Traffic Company,105.38,136.87
D,DE,TLC Vision Corp.,130.07,1x66.85
D,DE,"Topspin Medical, Inc.",.36,0.45
SD,YN,"Trico Marine Services, Triple Crown Media",535.20,472.7
D,DE,"U.S. Concrete, Inc.",389.16,399.35
CD,CA,U.S. Dry Cleaning Services Corporation,19.07,----
D,DE,Velocity Express Corp.,9o4,121
D,DE,Vermillioin Inc.,7.15,32.051
D,ED,"Vion Pharmaceuticals, Inc.","3,030.85","2,366.24"
,DE,Visteon Corp.,"4,577.03","5,324.03"
D,DE,"Xerium Technologies, Inc.",694,813
