labeling_budget,precision,recall,fscore
9,0.3383614437860014,0.7453898119408435,0.46544107168305543
23,0.36051236749116605,0.7451159393828738,0.48592010478061554
46,0.4569366368242071,0.6010589738908162,0.5191814848401215
70,0.8981911165830099,0.8658024465948511,0.8816994375493887
93,0.8921817668642393,0.8657111557421946,0.8787471621183338
186,0.754261473197069,0.8927332481285376,0.8176763242610476
279,0.8346959632089932,0.8947416468869818,0.8636764187522029
465,0.8655550680122861,0.9004016797516888,0.8826345697794086
930,0.8460337032470202,0.9395654555413546,0.8903499286301312
1395,0.8834228304174607,0.9311666970969508,0.9066666666666666
1860,0.9050582273979909,0.9294321708964762,0.9170832770346349
